Category,Question,Answer,PointValue,Round
History,What does the Statue of Liberty hold in her right hand?,Torch,100,1
History,Jimmy Carter was the first U.S. president born in a what?,Hopsital,200,1
History,In 1867 the United States purchased Alaska from what country?,Russia,300,1
History,The inventor Nikola Tesla was born on July 10th 1856 in what modern day country?,Croatia,400,1
History,"What battle was fought on June 18th, 1815 in present-day Belgium?",Waterloo,500,1
Space,Which planet in our solar system has the most oxygen?,Earth,100,1
Space,"Titan, Enceladus, Mimas & Iapetus are just some of the moons orbiting which planet?",Saturn,200,1
Space,What is the unit of length that is approximately 3.26 light-years?,Parsec,300,1
Space,What was the name of the first U.S. space station?,Skylab,400,1
Space,Which is the most abundant metal in the earth's crust?,Aluminum,500,1
Geography,what is the largest ocean on planet Earth?,Pacific,100,1
Geography,In which South American country would you find the ancient  Incan citadel Machu Picchu?,Peru,200,1
Geopraphy,San Marino is a microstate in Europe completely surrounded by what country?,Italy,300,1
Geopraphy,Beirut is the capital and largest city of what country?,Lebanon,400,1
Geography,The Grand Canyon is located in which U.S. state?,Arizona,500,1
Music,Award winning Latina pop artist Shakira was born and raised in what Country?,Colombia,100,1
Music,"In music, the space between one musical pitch and another with double its frequency is called what?",octave,200,1
Music ,Who is the lead singer for the American rock band Pearl Jam?,Eddie Vedder,300,1
Music,"Who wrote and recorded the one hit wonder ""Spirit in the Sky"" released in late 1969?",Norman Greenbaum,400,1
Music,"""All Shook Up"" is a song that topped the U.S. Billboard Hot 100 on April 13, 1957. Who was the singer?",Elvis Presley,500,1
TV,What is the longest running U.S. primetime television show of all time?,The Simpsons,100,1
TV,Star Trek: The Next Generation originally aired in what year?,1987,200,1
TV,"Which actress plays the female lead in the American crime thriller television series ""The Blacklist""?",Megan Boone,300,1
TV,"""Torchwood"" is an anagram and spin-off of what popular British sci-fi series?",Doctor Who,400,1
TV,Orphan Black is a sci-fi television series filmed in which country?,Canada,500,1
Computer,What do the letters in the acronym CD-ROM stand for?,Compact Disk Read Only Memory,100,1
Computer,Nintendo is a consumer electronics and video game company founded in what country?,Japan,200,1
Computer,"In a photo editing program, what do the letters RGB stand for?",Red Green Blue,300,1
Computer,HTML and CSS are computer languages used to create what?,websites,400,1
Computer,The first person shooter video game Doom was first released in what year?,1993,500,1
test1,a,,200,2
test1,a,,400,2
test1,a,,600,2
test1,a,,800,2
test1,a,,1000,2
test2,b,,200,2
test2,b,,400,2
test2,b,,600,2
test2,b,,800,2
test2,b,,1000,2
test3,c,,200,2
test3,c,,400,2
test3,c,,600,2
test3,c,,800,2
test3,c,,1000,2
test4,d,,200,2
test4,d,,400,2
test4,d,,600,2
test4,d,,800,2
test4,d,,1000,2
test5,e,,200,2
test5,e,,400,2
test5,e,,600,2
test5,e,,800,2
test5,e,,1000,2
test6,f,,200,2
test6,f,,400,2
test6,f,,600,2
test6,f,,800,2
test6,f,,1000,2